roll,MCCJ501,MCCJ502,MCCJ506,MCCJ507,MCCJ508
1,35.75,36.5,33.5,33,35.25
2,42,39.5,44.5,39.5,42.20
3,40.3,43.5,41,42.5,42.40
4,42.15,38.5,40.75,42.5,41.35
5,38.55,38,40.5,39.5,39.25
6,43.45,43,45.75,41.5,42.20
7,39.75,39,40,41,41.20
8,40.95,35,37,38,40.50
9,41.15,39.5,42.25,39.5,42.25
10,40.15,41,36,38.5,37.75
11,37.15,36,39,36.5,40.75
12,38.55,36.5,41.5,37,40.20
13,,,16.5,7.5,0
14,38.35,38,37.5,43,39.35
15,38.55,39,39,38.5,40.25
16,36.95,36.5,36,31.5,37.20
17,38.5,40.5,38,36.5,38.20
18,40.25,42,41,34.5,40.50
19,38.65,40.5,38,37.5,39.50
20,40.95,41.5,42.5,40,43.00
21,38.1,40.5,37.5,40.5,40.75
22,40.25,39.9,38,36,39.95
23,41.65,42,40,40,39.40
24,39.85,37.5,41,37.5,42.85
25,36.05,33.5,39.5,33,37.25
26,40.55,41,41.5,39.5,41.70
27,38.75,34,38.5,37.5,36.70
28,38.05,41.5,37,40.5,42.50
29,37.45,33,35.75,32,35.00
30,14.25,5,22,16.5,7.00
31,38.75,37.5,37.5,36,39.00
32,35.85,34.5,35,34.5,35.20
33,37.65,37.5,37.5,37,39.40
34,38.05,35.5,38.5,40,40.85
35,38.15,41.5,36.5,35.5,38.50
36,37.25,38,38,37.5,40.20
37,37.6,41.5,38,36.5,35.70
38,38.15,42,38.5,39,40.00
39,38.15,40.5,38,37,40.00
40,36.9,39.5,37.5,36.5,39.75
41,41.25,39,43,41.5,41.50
